명칭,조성연도,면적(제곱미터),체력단련시설,위치,연락처,관리기관명,데이터기준일
동네체육시설(야외운동기구),2004,,"푸싱업, 런닝트레이어, 거꾸로메달리기, 어깨밸런스무딩, 바디스윙",광주광역시 서구 유촌동 30,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2004,,"바디스윙, 허리돌리기, 런닝트레이너",광주광역시 서구 유촌동 824-8,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설,2004,193,건강지압보도,광주광역시 서구 쌍촌동 869-9(운천저수지) ,062-360-7987,광주광역시 서구,2021-09-13
동네체육시설,2004,193,건강지압보도,광주광역시 서구 매월동 519-1,062-360-7987,광주광역시 서구,2021-09-13
국민체육센터,2004,1868,"헬스장, 에어로빅장, 건강체력측정실, 다목적체육관",광주광역시 서구 풍암공원로 20,062-350-4567,광주광역시 서구,2021-09-13
동네체육시설,2004,300,"윗몸일으키기1점, 몸통돌리기1점, 등마사지기1점",광주광역시 서구 풍암동 금당산 산책로 체육시설 ,062-360-7987,광주광역시 서구,2021-09-13
동네체육시설,2005,20,"윗몸일으키기1점, 몸통돌리기1점",광주광역시 서구 농성동 671-2,062-360-7987,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2005,,"앉아다리뻗기, 온몸당겨들기, 어깨돌리기, 하늘걷기",광주광역시 서구 농성동 117,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2005,,"에어워킹, 런닝트레이너, 푸싱업, 거꾸리매달리기, 어깨밸란스무딩, 바디스윙",광주광역시 서구 농성동 671-2,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2005,,"역기돌리기, 싸이클, 하체근육풀기, 노젓기, 상체근육풀기, 바디터닝, 에어워킹, 바디스윙",광주광역시 서구 화정동 652,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2006,,"어깨돌리기, 하늘걷기, 어깨근육풀기",광주광역시 서구 농성동 422-3,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2006,,"바디업, 런닝트레이닝, 바디스윙, 바디터닝, 에어워킹",광주광역시 서구 유촌동 25-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2006,,"스윙워커머신, 허리돌리기, 윗몸일으키기",광주광역시 서구 쌍촌동 362-7,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설,2008,60,철봉3단,광주광역시 서구 풍암동440-4,062-360-7987,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2008,,"허리돌리기, 하늘걷기, 상체근육풀기",광주광역시 서구 용두동 637-10,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2009,,런닝트레이너,광주광역시 서구 쌍촌동 1232-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2009,,"레그트레이닝, 바디터닝",광주광역시 서구 내방동 590-3,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2009,,"에어워킹, 하늘걷기, 바디스윙, 윗몸일으키기",광주광역시 서구 매월동 261-4,062-360-7193,광주광역시 서구,2021-09-13
금호게이트볼장,2009,782,게이트볼장 2면,광주광역시 서구 금호동 743-1,062-360-7723,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2009,,"복근기르기, 바디스윙, 바디터닝, 런닝트레이너",광주광역시 서구 금호동 820,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2009,,"허리돌리기, 바디백마사지, 런닝트레이너, 허리돌리기, 온몸근육풀기",광주광역시 서구 금호동 738-2,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2010,,"바디터닝. 런닝트레이너, 에어워킹, 바디업, 푸싱업, 거꾸로메달리기",광주광역시 서구 양동 295,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2011,,"달리기, 원그리기, 싣업머신, 가로하늘타기, 허리돌리기, 하늘걷기, 거꾸로 메달리기",광주광역시 서구 화정동 733-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2011,,"바디터닝, 에어워킹",광주광역시 서구 벽진동 825-31,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2011,,"허리돌리기, 트윈바디싣업, 크로스컨츄리, 어깨근육풀기, 오버턴스트레칭, 싸이드파도타기",광주광역시 서구 농성동 30-10,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2011,,"어깨밸런스무딩, 바디터닝, 에어워킹",광주광역시 서구 벽진동 633-3,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2011,,"암휠, 에어워커, 트위스트머신, 복근강화기, 싸이클런",광주광역시 서구 세하동 326-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2011,,"어깨밸런스무딩, 에어워킹, 바디스윙, 바디터닝",광주광역시 서구 마륵동 552,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2012,,"스윙워커머신, 트위스트머신",광주광역시 서구 용두동 503-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2012,,"롤링머신, 싸이클런, 에어워커, 트위스트머신, 숄더휠",광주광역시 서구 유촌동 871-3,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2013,,"에어워킹, 바디스윙",광주광역시 서구 농성동 63-2,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2013,,"바디터닝, 바디스윙, 에어워킹, 어깨밸런스무딩, 암밸런스무딩, 바디백마사지, 거꾸로메달리기",광주광역시 서구 서창동 464-3,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2013,,"에어워킹, 바디터닝",광주광역시 서구 서창동 155-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2013,,"바디터닝, 턱걸이운동, 런닝트레이너, 꺼꾸리머신, 에어워킹, 바디스윙, 어깨밸런스무딩",광주광역시 서구 쌍촌동 914-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2013,,"턱걸이운동, 런닝트레이너, 등마사지",광주광역시 서구 쌍촌동 1233-11,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2014,,"좌우다리뻗기, 허리돌리기, 팔돌리기",광주광역시 서구 매월동 941,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2014,,"자유걷기운동, 좌우다리뻗기, 허리돌리기",광주광역시 서구 덕흥동 808-25,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2015,,"공중걷기, 허리돌리기",광주광역시 서구 용두동 108-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2015,,"공중걷기, 허리돌리기, 큰활차머신",광주광역시 서구 벽진동 486-10,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2015,,"바디밸런스킵, 트위스트머신, 에어워킹, 런닝트레이너, 드로다운, 바디스윙",광주광역시 서구 유촌동 124,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2015,,"하늘걷기, 허리돌리기, 양팔줄당기기, 팔관절운동, 복근기르기, 철봉, 평행봉",광주광역시 서구 치평동 1161-2,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2016,,"다리뻗치기, 공중걷기, 파도타기, 역기내리기, 큰활자머신",광주광역시 서구 서창동 555-1,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2016,,"디핑머신, 바디업, 바디터닝, 어깨밸런스스무딩, 바디스윙, 에어워킹, 런닝트레이너, 꺼꾸리머신",광주광역시 서구 광천동 782-249,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2016,,"허리돌리기, 가로하늘타기, 하늘걷기, 달리기, 양팔줄당기기",광주광역시 서구 쌍촌동 171-73,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2017,,"허리마사지, 허리돌리기, 팔관절운동, 가로하늘타기",광주광역시 서구 세하동 690-1,062-360-7193,광주광역시 서구,2021-09-13
서창동 축구장,2018,4987,축구장 1면,광주광역시 서구 서창동 748번지 외 9필지,062-360-7193,광주광역시 서구,2021-09-13
농성동 테니스장,1994,2084,테니스장 2면,광주광역시 서구 농성동 417-8,062-360-7193,광주광역시 서구,2021-09-13
상무시민공원 종합운동장,1997,27260,"축구장 및 곡선7레인, 직선 8레인",광주광역시 서구 상무공원로 101,062-360-7850,광주광역시 서구,2021-09-13
풍암생활체육공원 족구장,1997,1081,족구장 2면,광주광역시 서구 풍암공원로 20,062-360-7193,광주광역시 서구,2021-09-13
상무시민공원 배구장,1997,649,배구장 1면,광주광역시 서구 상무공원로 101,062-360-7850,광주광역시 서구,2021-09-13
상무시민공원 농구장,1997,835,농구장 1면,광주광역시 서구 상무공원로 101,062-360-7850,광주광역시 서구,2021-09-13
상무시민공원 테니스장,1997,1200,테니스장 3면,광주광역시 서구 상무공원로 101,062-360-7850,광주광역시 서구,2021-09-13
상무시민공원 배드민턴장,1997,1333,배트민턴장 3면,광주광역시 서구 상무공원로 101,062-360-7850,광주광역시 서구,2021-09-13
신암근린공원 테니스장,1998,1150,테니스장 2면,광주광역시 서구 풍암2로 26,062-360-7723,광주광역시 서구,2021-09-13
마재게이트볼장,1998,300,게이트볼장 1면,광주광역시 서구 금호동 789,062-360-7723,광주광역시 서구,2021-09-13
풍암게이트볼장,1998,652,게이트볼장 2면,광주광역시 서구 풍암2로 26,062-360-7723,광주광역시 서구,2021-09-13
서광게이트볼장,1998,300,게이트볼장 1면,광주광역시 서구 쌍촌동 375-15,062-360-7723,광주광역시 서구,2021-09-13
마륵동 축구장,2001,12150,축구장 3면,광주광역시 서구 마륵동 606번지,062-360-7193,광주광역시 서구,2021-09-13
풍암생활체육공원 정구장,2004,1260,정구장 2면,광주광역시 서구 풍암공원로 20,062-360-7193,광주광역시 서구,2021-09-13
풍암생활체육공원 배구장,2004,382,배구장 1면,광주광역시 서구 풍암공원로 20,062-360-7193,광주광역시 서구,2021-09-13
풍암생활체육공원 농구장,2004,608,농구장 1면,광주광역시 서구 풍암공원로 20,062-360-7193,광주광역시 서구,2021-09-13
치평게이트볼장,2008,300,게이트볼장 1면,광주광역시 서구 치평동 1280-1,062-360-7723,광주광역시 서구,2021-09-13
덕흥동 축구장,2009,12800,축구장 2면,광주광역시 서구 덕흥동 146,062-360-7193,광주광역시 서구,2021-09-13
광화게이트볼장,2009,660,게이트볼장 2면,광주광역시 서구 화정로 179번길 63,062-360-7193,광주광역시 서구,2021-09-13
서창게이틀볼장,2009,372,게이트볼장 1면,광주광역시 서구 서창둑길 18,062-360-7193,광주광역시 서구,2021-09-13
상무게이트볼장,2009,352,게이트볼장 1면,광주광역시 서구 쌍촌동 927-12,062-360-7193,광주광역시 서구,2021-09-13
덕흥동 야구장,2011,13782,야구장 2면,광주광역시 서구 덕흥동 146,062-360-7193,광주광역시 서구,2021-09-13
인라인스케이트장,2012,10200,인라인스케이트장 1면,광주광역시 서구 금화로 240,062-360-7193,광주광역시 서구,2021-09-13
광천동 족구장,2013,337,족구장 1면,광주광역시 서구 광천동 746-1,062-360-7193,광주광역시 서구,2021-09-13
유덕동 족구장,2015,300,족구장 1면,광주광역시 서구 유촌동 30,062-360-7193,광주광역시 서구,2021-09-13
덕흥동 족구장,2018,689,족구장 1면,광주광역시 서구 덕흥동 146,062-360-7193,광주광역시 서구,2021-09-13
